Category,Score,World Rank,University Name
teaching,26.00,351-400,Victoria University of Wellington
teaching,29.00,351-400,Washington State University
teaching,31.90,351-400,Wayne State University
teaching,42.20,401-500,American University
teaching,18.40,401-500,Aston University
teaching,24.80,401-500,University of Aveiro
teaching,28.70,401-500,University of Bari Aldo Moro
teaching,22.60,401-500,Bar-Ilan University
teaching,32.00,401-500,Bournemouth University
teaching,15.60,401-500,University of Brescia
teaching,18.00,401-500,Brno University of Technology
teaching,24.80,401-500,Brunel University London
teaching,23.90,401-500,Ca’ Foscari University of Venice
teaching,19.40,401-500,University of Cagliari
teaching,23.50,401-500,University of Canterbury
teaching,18.60,401-500,Catholic University of the Sacred Heart
teaching,31.50,401-500,Charles University in Prague
teaching,24.00,401-500,"China Medical University, Taiwan"
teaching,23.50,401-500,City University London
teaching,21.30,401-500,Claude Bernard University Lyon 1
teaching,28.30,401-500,University of Coimbra
teaching,33.20,401-500,Complutense University of Madrid
teaching,19.30,401-500,Concordia University
teaching,20.10,401-500,Curtin University
teaching,26.10,401-500,Dublin City University
teaching,24.10,401-500,East China University of Science and Technology
teaching,23.90,401-500,Ewha Womans University
teaching,17.20,401-500,Federico Santa María Technical University
teaching,17.70,401-500,University of Ferrara
teaching,25.70,401-500,Florida International University
teaching,27.20,401-500,University of Genoa
teaching,26.30,401-500,Georgia State University
teaching,24.90,401-500,University of Graz
teaching,23.40,401-500,Heriot-Watt University
teaching,40.30,401-500,Hokkaido University
teaching,38.80,401-500,Howard University
teaching,22.40,401-500,University of Hull
teaching,28.30,401-500,University of Idaho
teaching,35.80,401-500,Indian Institute of Technology Delhi
teaching,33.20,401-500,Indian Institute of Technology Kharagpur
teaching,34.60,401-500,Indian Institute of Technology Madras
teaching,14.50,401-500,University of Ioannina
teaching,25.90,401-500,Iran University of Science and Technology
teaching,19.20,401-500,Johannes Kepler University of Linz
teaching,29.60,401-500,University of Kaiserslautern
teaching,20.00,401-500,Keele University
teaching,20.30,401-500,University of KwaZulu-Natal
teaching,26.10,401-500,Kyung Hee University
teaching,36.50,401-500,Kyushu University
teaching,23.90,401-500,Lehigh University
teaching,26.80,401-500,Louisiana State University
teaching,18.50,401-500,University of Macau
teaching,15.10,401-500,Makerere University
teaching,15.20,401-500,Marche Polytechnic University
teaching,21.30,401-500,"University of Maryland, Baltimore County"
teaching,18.70,401-500,Murdoch University
teaching,19.60,401-500,University of Nantes
teaching,26.70,401-500,National and Kapodistrian University of Athens
teaching,42.70,401-500,National Autonomous University of Mexico
teaching,29.80,401-500,National Cheng Kung University
teaching,27.00,401-500,National Institute of Applied Sciences of Lyon (INSA Lyon)
teaching,41.50,401-500,National Yang-Ming University
teaching,24.20,401-500,University of Neuchâtel
teaching,26.90,401-500,New University of Lisbon
teaching,21.40,401-500,University of Nice Sophia Antipolis
teaching,41.40,401-500,Novosibirsk State University
teaching,21.00,401-500,The Open University
teaching,25.70,401-500,Oxford Brookes University
teaching,15.30,401-500,University of Palermo
teaching,17.70,401-500,University of Parma
teaching,21.60,401-500,University of Pisa
teaching,25.20,401-500,Polytechnic University of Catalonia
teaching,28.20,401-500,Pontifical Catholic University of Chile
teaching,32.00,401-500,University of Porto
teaching,17.20,401-500,University of Portsmouth
teaching,24.70,401-500,RMIT University
teaching,23.50,401-500,University of Rome II – Tor Vergata
teaching,20.80,401-500,University of Rovira i Virgili
teaching,47.90,401-500,Saint Petersburg State University
teaching,29.60,401-500,University of Salento
teaching,34.20,401-500,University of San Francisco
teaching,30.80,401-500,University of Saskatchewan
teaching,26.60,401-500,Sharif University of Technology
teaching,23.70,401-500,University of Siena
teaching,18.90,401-500,Southern Cross University
teaching,25.60,401-500,State University of New York Albany
teaching,25.90,401-500,University of Strathclyde
teaching,23.50,401-500,University of Tampere
teaching,23.10,401-500,Tampere University of Technology
teaching,39.30,401-500,Tokyo Medical and Dental University (TMDU)
teaching,21.60,401-500,Tokyo Metropolitan University
teaching,40.00,401-500,University of Tsukuba
teaching,19.50,401-500,University of Ulsan
teaching,19.10,401-500,Ulster University
teaching,26.80,401-500,Université du Québec à Montréal
teaching,26.30,401-500,Universiti Teknologi Malaysia
teaching,17.20,401-500,University of Urbino Carlo Bo
teaching,22.70,401-500,University of Valencia
teaching,19.30,401-500,University of Waikato
teaching,20.10,401-500,Western Sydney University
teaching,38.20,401-500,Wuhan University
teaching,26.70,401-500,Xiamen University
teaching,27.70,501-600,American University of Beirut
teaching,24.50,501-600,Amirkabir University of Technology
teaching,21.20,501-600,"University of the Andes, Colombia"
teaching,25.50,501-600,University of Arkansas
teaching,30.20,501-600,Auburn University
teaching,27.90,501-600,Babeş-Bolyai University
teaching,18.20,501-600,University of the Basque Country
teaching,44.00,501-600,Bauman Moscow State Technical University
teaching,25.10,501-600,Ben-Gurion University of the Negev
teaching,20.20,501-600,Blaise Pascal University
teaching,21.20,501-600,Boğaziçi University
teaching,21.40,501-600,University of Burgundy
teaching,18.40,501-600,University of Canberra
teaching,19.90,501-600,Carleton University
teaching,19.20,501-600,University of Catania
teaching,20.90,501-600,Central Queensland University
teaching,28.30,501-600,University of Chile
teaching,35.80,501-600,China Agricultural University
teaching,29.90,501-600,Chung-Ang University
teaching,20.60,501-600,Czech Technical University in Prague
teaching,16.80,501-600,De Montfort University
teaching,24.60,501-600,East China Normal University
teaching,18.90,501-600,Edith Cowan University
teaching,32.40,501-600,Federal University of Rio de Janeiro
teaching,24.30,501-600,University of Granada
teaching,25.50,501-600,University of Haifa
teaching,29.40,501-600,Harbin Institute of Technology
teaching,15.50,501-600,University of Hertfordshire
teaching,27.80,501-600,Hiroshima University
teaching,29.30,501-600,Huazhong University of Science and Technology
teaching,24.30,501-600,Indian Institute of Technology Guwahati
teaching,33.10,501-600,Indian Institute of Technology Kanpur
teaching,29.70,501-600,Indian Institute of Technology Roorkee
teaching,18.10,501-600,Isfahan University of Technology
teaching,19.20,501-600,Istanbul Technical University
teaching,32.80,501-600,Jadavpur University
teaching,24.70,501-600,Kanazawa University
teaching,22.90,501-600,Kansas State University
teaching,25.00,501-600,Keio University
teaching,18.40,501-600,Kent State University
teaching,25.40,501-600,King Fahd University of Petroleum and Minerals
teaching,20.00,501-600,King Saud University
teaching,16.90,501-600,University of La Laguna
teaching,27.10,501-600,Lappeenranta University of Technology
teaching,19.80,501-600,University of Limerick
teaching,25.90,501-600,University of Lisbon
teaching,16.40,501-600,Liverpool John Moores University
teaching,26.80,501-600,Mahidol University
teaching,22.70,501-600,Manchester Metropolitan University
teaching,17.10,501-600,University of Maribor
teaching,21.20,501-600,Masaryk University
teaching,23.10,501-600,Massey University
teaching,18.10,501-600,Memorial University of Newfoundland
teaching,29.90,501-600,Middle East Technical University
teaching,23.90,501-600,University of Minho
teaching,23.50,501-600,Missouri University of Science and Technology
teaching,17.70,501-600,Montana State University
teaching,23.90,501-600,Monterrey Institute of Technology and Higher Education
teaching,26.30,501-600,National Central University
teaching,26.10,501-600,National Sun Yat-Sen University
teaching,26.20,501-600,National Taiwan Normal University
teaching,20.20,501-600,National Technical University of Athens
teaching,18.90,501-600,New Jersey Institute of Technology
teaching,19.50,501-600,New Mexico State University
teaching,18.20,501-600,University of North Carolina at Greensboro
teaching,27.50,501-600,Oklahoma State University
teaching,26.30,501-600,Osaka City University
teaching,22.90,501-600,Otto von Guericke University of Magdeburg
teaching,19.50,501-600,University of Oviedo
teaching,19.20,501-600,Palacký University in Olomouc
teaching,24.60,501-600,Panjab University
teaching,21.90,501-600,Paris Dauphine University
teaching,24.50,501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)
teaching,16.80,501-600,Portland State University
teaching,25.60,501-600,University of Pretoria
teaching,27.50,501-600,Pusan National University
teaching,17.90,501-600,Quaid-i-azam University
teaching,15.60,501-600,University of Regina
teaching,34.70,501-600,Renmin University of China
teaching,17.80,501-600,University of Rennes 1
teaching,26.10,501-600,University of Salamanca
teaching,22.90,501-600,University of Santiago de Compostela
teaching,19.60,501-600,Semmelweis University
teaching,21.50,501-600,University of Seville
teaching,25.60,501-600,Université de Sherbrooke
teaching,19.20,501-600,Soochow University
teaching,19.50,501-600,South China University of Technology
teaching,16.30,501-600,Tallinn University of Technology
teaching,51.80,501-600,Tehran University of Medical Sciences
teaching,20.10,501-600,University of Texas at Arlington
teaching,36.50,501-600,Tianjin University
teaching,34.90,501-600,Tokyo University of Agriculture and Technology
teaching,31.60,501-600,University of Toledo
teaching,28.90,501-600,Tongji University
teaching,29.70,501-600,University of Tulsa
teaching,18.80,501-600,United Arab Emirates University
teaching,26.10,501-600,University of Warsaw
teaching,17.30,501-600,University of Wisconsin-Milwaukee
teaching,28.70,501-600,Xi’an Jiaotong University
teaching,20.10,501-600,University of Zaragoza
teaching,18.30,601-800,University of A Coruña
teaching,20.00,601-800,Adam Mickiewicz University
teaching,14.20,601-800,AGH University of Science and Technology
teaching,19.50,601-800,Ajou University
teaching,17.60,601-800,University of Alcalá
teaching,20.30,601-800,Alexandria University
teaching,24.90,601-800,Alexandru Ioan Cuza University
teaching,28.30,601-800,Aligarh Muslim University
teaching,12.40,601-800,American University of Sharjah
teaching,20.40,601-800,Amrita University
teaching,12.20,601-800,Anadolu University
teaching,34.80,601-800,Andhra University
teaching,18.10,601-800,University of Antioquia
teaching,22.60,601-800,Aristotle University of Thessaloniki
teaching,14.40,601-800,"Asia University, Taiwan"
teaching,13.40,601-800,Athens University of Economics and Business
teaching,17.30,601-800,Auckland University of Technology
teaching,16.70,601-800,Austral University of Chile
teaching,25.90,601-800,Beijing Institute of Technology
teaching,20.20,601-800,Belarusian State University
teaching,20.40,601-800,University of Belgrade
teaching,18.30,601-800,"Birla Institute of Technology and Science, Pilani"
teaching,18.70,601-800,University of Bradford
teaching,21.90,601-800,University of Brasília
teaching,16.70,601-800,University of Brighton
teaching,34.30,601-800,University of Bucharest
teaching,17.10,601-800,Budapest University of Technology and Economics
teaching,18.90,601-800,Cairo University
teaching,34.70,601-800,University of Calcutta
teaching,11.60,601-800,"California State University, Long Beach"
teaching,26.30,601-800,Capital Medical University
teaching,18.40,601-800,University of Castilla-La Mancha
